1	1-1	0-10	Einleitung	Einleitung	NN	NOUN	Einleitung	_
2	1-2	11-12	:	:	$.	PUNCT	:	_
3	1-3	13-16	Das	Das	ART	DET	der	_
4	1-4	17-22	Thema	Thema	NN	NOUN	Thema	_
5	1-5	23-26	der	der	ART	DET	der	_
6	1-6	27-32	Texte	Texte	NN	NOUN	Text	_
7	1-7	33-36	ist	ist	VAFIN	AUX	sein	_
8	1-8	37-48	Kiezdeutsch	Kiezdeutsch	NN	NOUN	Kiezdeutsch	_
9	1-9	49-50	,	,	$,	PUNCT	,	_
10	1-10	51-55	eine	eine	ART	DET	ein	_
11	1-11	56-64	Varietät	Varietät	NN	NOUN	Varietät	_
12	1-12	65-68	des	des	ART	DET	der	_
13	1-13	69-78	Deutschen	Deutschen	NN	NOUN	deutsche	_
14	1-14	79-80	,	,	$,	PUNCT	,	_
15	1-15	81-84	die	die	PRELS	PRON	der	_
16	1-16	85-88	vor	vor	APPR	ADP	vor	_
17	1-17	89-94	allem	allem	PIS	PRON	alle	_
18	1-18	95-98	von	von	APPR	ADP	von	_
19	1-19	99-111	Jugendlichen	Jugendlichen	NN	NOUN	jugendliche	_
20	1-20	112-114	in	in	APPR	ADP	in	_
21	1-21	115-122	urbanen	urbanen	ADJA	ADJ	urban	_
22	1-22	123-129	Räumen	Räumen	NN	NOUN	Raum	_
23	1-23	130-133	mit	mit	APPR	ADP	mit	_
24	1-24	134-139	einem	einem	ART	DET	ein	_
25	1-25	140-145	hohen	hohen	ADJA	ADJ	hoch	_
26	1-26	146-162	Migrationsanteil	Migrationsanteil	NN	NOUN	Migrationsanteil	_
27	1-27	163-173	gesprochen	gesprochen	VVPP	VERB	sprechen	_
28	1-28	174-178	wird	wird	VAFIN	AUX	werden	_
29	1-29	179-180	.	.	$.	PUNCT	.	_

30	2-1	181-184	Die	Die	ART	DET	der	_
31	2-2	185-190	Texte	Texte	NN	NOUN	Text	_
32	2-3	191-198	stammen	stammen	VVFIN	VERB	stammen	_
33	2-4	199-202	aus	aus	APPR	ADP	aus	_
34	2-5	203-216	verschiedenen	verschiedenen	ADJA	ADJ	verschieden	_
35	2-6	217-224	Quellen	Quellen	NN	NOUN	Quelle	_
36	2-7	225-226	:	:	$.	PUNCT	:	_

37	3-1	227-230	Der	Der	ART	DET	der	_
38	3-2	231-236	erste	erste	ADJA	ADJ	erster	_
39	3-3	237-241	Text	Text	NN	NOUN	Text	_
40	3-4	242-245	ist	ist	VAFIN	AUX	sein	_
41	3-5	246-249	ein	ein	ART	DET	ein	_
42	3-6	250-256	Auszug	Auszug	NN	NOUN	Auszug	_
43	3-7	257-260	aus	aus	APPR	ADP	aus	_
44	3-8	261-264	dem	dem	ART	DET	der	_
45	3-9	265-271	German	German	NE	PROPN	German	_
46	3-10	272-279	Summary	Summary	NE	PROPN	Summary	_
47	3-11	280-286	Corpus	Corpus	NE	PROPN	Corpus	_
48	3-12	287-288	(	(	$(	PUNCT	(	_
49	3-13	289-297	GerSumCo	GerSumCo	NE	PROPN	GerSumCo	_
50	3-14	298-299	)	)	$(	PUNCT	)	_
51	3-15	300-301	,	,	$,	PUNCT	,	_
52	3-16	302-307	einer	einer	ART	DET	ein	_
53	3-17	308-316	Sammlung	Sammlung	NN	NOUN	Sammlung	_
54	3-18	317-320	von	von	APPR	ADP	von	_
55	3-19	321-327	Texten	Texten	NN	NOUN	Text	_
56	3-20	328-331	und	und	KON	CCONJ	und	_
57	3-21	332-337	ihren	ihren	PPOSAT	DET	ihr	_
58	3-22	338-355	Zusammenfassungen	Zusammenfassungen	NN	NOUN	Zusammenfassung	_
59	3-23	356-357	.	.	$.	PUNCT	.	_

60	4-1	358-361	Der	Der	ART	DET	der	_
61	4-2	362-368	zweite	zweite	ADJA	ADJ	zweiter	_
62	4-3	369-373	Text	Text	NN	NOUN	Text	_
63	4-4	374-377	ist	ist	VAFIN	AUX	sein	_
64	4-5	378-381	ein	ein	ART	DET	ein	_
65	4-6	382-390	Plädoyer	Plädoyer	NN	NOUN	Plädoyer	_
66	4-7	391-396	einer	einer	ART	DET	ein	_
67	4-8	397-408	Professorin	Professorin	NN	NOUN	Professorin	_
68	4-9	409-410	,	,	$,	PUNCT	,	_
69	4-10	411-414	die	die	ART	PRON	der	_
70	4-11	415-426	Kiezdeutsch	Kiezdeutsch	NN	NOUN	Kiezdeutsch	_
71	4-12	427-430	als	als	APPR	ADP	als	_
72	4-13	431-436	einen	einen	ART	DET	ein	_
73	4-14	437-442	neuen	neuen	ADJA	ADJ	neu	_
74	4-15	443-450	Dialekt	Dialekt	NN	NOUN	Dialekt	_
75	4-16	451-461	verteidigt	verteidigt	VVPP	VERB	verteidigen	_
76	4-17	462-463	.	.	$.	PUNCT	.	_

77	5-1	464-467	Die	Die	ART	DET	der	_
78	5-2	468-473	These	These	NN	NOUN	These	_
79	5-3	474-475	,	,	$,	PUNCT	,	_
80	5-4	476-479	die	die	PRELS	PRON	der	_
81	5-5	480-483	ich	ich	PPER	PRON	ich	_
82	5-6	484-487	aus	aus	APPR	ADP	aus	_
83	5-7	488-491	den	den	ART	DET	der	_
84	5-8	492-498	Texten	Texten	NN	NOUN	Text	_
85	5-9	499-507	ableiten	ableiten	VVINF	VERB	ableiten	_
86	5-10	508-514	möchte	möchte	VMFIN	AUX	möchten	_
87	5-11	515-516	,	,	$,	PUNCT	,	_
88	5-12	517-520	ist	ist	VAFIN	AUX	sein	_
89	5-13	521-522	:	:	$.	PUNCT	:	_
90	5-14	523-534	Kiezdeutsch	Kiezdeutsch	NN	ADV	Kiezdeutsch	_
91	5-15	535-538	ist	ist	VAFIN	AUX	sein	_
92	5-16	539-543	eine	eine	ART	DET	ein	_
93	5-17	544-556	bereichernde	bereichernde	ADJA	ADJ	bereichernd	_
94	5-18	557-560	und	und	KON	CCONJ	und	_
95	5-19	561-569	legitime	legitime	ADJA	ADJ	legitim	_
96	5-20	570-578	Varietät	Varietät	NN	NOUN	Varietät	_
97	5-21	579-582	des	des	ART	DET	der	_
