1	Einleitung	Einleitung
2	:	:
3	Das	Das
4	Thema	Thema
5	der	der
6	Texte	Texte
7	ist	ist
8	Kiezdeutsch	Kiezdeutsch
9	,	,
10	eine	eine
11	Varietät	Varietät
12	des	des
13	Deutschen	Deutschen
14	,	,
15	die	die
16	vor	vor
17	allem	allem
18	von	von
19	Jugendlichen	Jugendlichen
20	in	in
21	urbanen	urbanen
22	Räumen	Räumen
23	mit	mit
24	einem	einem
25	hohen	hohen
26	Migrationsanteil	Migrationsanteil
27	gesprochen	gesprochen
28	wird	wird
29	.	.
30	Die	Die
31	Texte	Texte
32	stammen	stammen
33	aus	aus
34	verschiedenen	verschiedenen
35	Quellen	Quellen
36	:	:
37	Der	Der
38	erste	erste
39	Text	Text
40	ist	ist
41	ein	ein
42	Auszug	Auszug
43	aus	aus
44	dem	dem
45	German	German
46	Summary	Summary
47	Corpus	Corpus
48	(	(
49	GerSumCo	GerSumCo
50	)	)
51	,	,
52	einer	einer
53	Sammlung	Sammlung
54	von	von
55	Texten	Texten
56	und	und
57	ihren	ihren
58	Zusammenfassungen	Zusammenfassungen
59	.	.
60	Der	Der
61	zweite	zweite
62	Text	Text
63	ist	ist
64	ein	ein
65	Plädoyer	Plädoyer
66	einer	einer
67	Professorin	Professorin
68	,	,
69	die	die
70	Kiezdeutsch	Kiezdeutsch
71	als	als
72	einen	einen
73	neuen	neuen
74	Dialekt	Dialekt
75	verteidigt	verteidigt
76	.	.
77	Die	Die
78	These	These
79	,	,
80	die	die
81	ich	ich
82	aus	aus
83	den	den
84	Texten	Texten
85	ableiten	ableiten
86	möchte	möchte
87	,	,
88	ist	ist
89	:	:
90	Kiezdeutsch	Kiezdeutsch
91	ist	ist
92	eine	eine
93	bereichernde	bereichernde
94	und	und
95	legitime	legitime
96	Varietät	Varietät
97	des	des
98	Deutschen	Deutschen
99	,	,
100	die	die
101	nicht	nicht
102	als	als
103	Bedrohung	Bedrohung
104	oder	oder
105	Verfall	Verfall
106	angesehen	angesehen
107	werden	werden
108	sollte	sollte
109	.	.
110	Hauptteil	Hauptteil
111	:	:
112	Im	Im
113	Hauptteil	Hauptteil
114	werde	werde
115	ich	ich
116	die	die
117	Argumente	Argumente
118	der	der
119	Texte	Texte
120	für	für
121	meine	meine
122	These	These
