#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Target|Targetform
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.Connectives|Con


#Text=Einleitung : Das Thema der Texte ist Kiezdeutsch , eine Varietät des Deutschen , die vor allem von Jugendlichen in urbanen Räumen mit einem hohen Migrationsanteil gesprochen wird .
1-1	0-10	Einleitung	Einleitung	NN	NOUN	Einleitung	_
1-2	11-12	:	:	$.	PUNCT	:	_
1-3	13-16	Das	Das	ART	DET	der	_
1-4	17-22	Thema	Thema	NN	NOUN	Thema	_
1-5	23-26	der	der	ART	DET	der	_
1-6	27-32	Texte	Texte	NN	NOUN	Text	_
1-7	33-36	ist	ist	VAFIN	AUX	sein	_
1-8	37-48	Kiezdeutsch	Kiezdeutsch	NN	NOUN	Kiezdeutsch	_
1-9	49-50	,	,	$,	PUNCT	,	_
1-10	51-55	eine	eine	ART	DET	ein	_
1-11	56-64	Varietät	Varietät	NN	NOUN	Varietät	_
1-12	65-68	des	des	ART	DET	der	_
1-13	69-78	Deutschen	Deutschen	NN	NOUN	deutsche	_
1-14	79-80	,	,	$,	PUNCT	,	_
1-15	81-84	die	die	PRELS	PRON	der	_
1-16	85-88	vor	vor	APPR	ADP	vor	_
1-17	89-94	allem	allem	PIS	PRON	alle	_
1-18	95-98	von	von	APPR	ADP	von	_
1-19	99-111	Jugendlichen	Jugendlichen	NN	NOUN	jugendliche	_
1-20	112-114	in	in	APPR	ADP	in	_
1-21	115-122	urbanen	urbanen	ADJA	ADJ	urban	_
1-22	123-129	Räumen	Räumen	NN	NOUN	Raum	_
1-23	130-133	mit	mit	APPR	ADP	mit	_
1-24	134-139	einem	einem	ART	DET	ein	_
1-25	140-145	hohen	hohen	ADJA	ADJ	hoch	_
1-26	146-162	Migrationsanteil	Migrationsanteil	NN	NOUN	Migrationsanteil	_
1-27	163-173	gesprochen	gesprochen	VVPP	VERB	sprechen	_
1-28	174-178	wird	wird	VAFIN	AUX	werden	_
1-29	179-180	.	.	$.	PUNCT	.	_

#Text=Die Texte stammen aus verschiedenen Quellen :
2-1	181-184	Die	Die	ART	DET	der	_
2-2	185-190	Texte	Texte	NN	NOUN	Text	_
2-3	191-198	stammen	stammen	VVFIN	VERB	stammen	_
2-4	199-202	aus	aus	APPR	ADP	aus	_
2-5	203-216	verschiedenen	verschiedenen	ADJA	ADJ	verschieden	_
2-6	217-224	Quellen	Quellen	NN	NOUN	Quelle	_
2-7	225-226	:	:	$.	PUNCT	:	_

#Text=Der erste Text ist ein Auszug aus dem German Summary Corpus ( GerSumCo ) , einer Sammlung von Texten und ihren Zusammenfassungen .
3-1	227-230	Der	Der	ART	DET	der	_
3-2	231-236	erste	erste	ADJA	ADJ	erster	_
3-3	237-241	Text	Text	NN	NOUN	Text	_
3-4	242-245	ist	ist	VAFIN	AUX	sein	_
3-5	246-249	ein	ein	ART	DET	ein	_
3-6	250-256	Auszug	Auszug	NN	NOUN	Auszug	_
3-7	257-260	aus	aus	APPR	ADP	aus	_
