"L1_1","L1_2","name","IQR","amount"
"ar","_",164.5,24.5,2
"ar","fr",220,0,1
"bs","_",238,0,1
"da","_",316.333333333333,60.5,3
"en","_",221.4,69,5
"en","af",260,0,1
"en","es",136,0,1
"en","fr",335,0,1
"es","_",270.333333333333,48.5,3
"es","gl",101,0,1
"fa","_",353,56.5,3
"fr","_",264,25,3
"hy","ru",259,0,1
"it","_",193.666666666667,19.5,3
"ka","_",368,0,1
"ko","_",293,8,2
"pl","_",285.285714285714,55,21
"pt","_",161.5,6.5,2
"ru","_",303.4,21,5
"sl","_",287,0,1
"sq","_",185.5,19.5,2
"th","_",119,0,1
"tr","_",279.333333333333,42,3
"tr","ar",165,0,1
"uk","_",340.333333333333,77,3
"uk","ru",266.285714285714,82.5,7
"uz","ru",269,0,1
"vie","_",209,0,1
"zh","_",221.678571428571,93.25,28
